"Subject"	"WT"	"WG"	"BT"	"BG"	"sum"
1018	15	45	33	10	103
1035	17	27	38	17	99
1037	23	6	21	3	53
1039	26	26	34	26	112
1043	24	26	36	15	101
1044	28	12	34	17	91
1048	9	17	18	13	57
1501	18	27	27	7	79
1502	9	11	14	10	44
1504	13	40	47	11	111
1505	9	13	10	13	45
1507	21	23	41	30	115
1509	14	19	20	19	72
1510	28	20	24	23	95
1511	9	22	18	15	64
1515	29	17	30	15	91
1516	11	14	7	7	39
1517	5	17	8	7	37
1518	22	28	43	13	106
1521	3	31	15	12	61
1522	3	5	10	6	24
1525	29	14	18	16	77
1526	25	26	29	41	121
1527	17	17	22	15	71
1529	13	28	22	21	84
1530	36	17	56	7	116
1532	18	20	18	19	75
1535	25	33	36	20	114
1536	20	15	41	11	87
1537	11	21	33	16	81
1538	25	11	19	14	69
1539	21	24	27	11	83
1540	11	30	17	27	85
1541	21	27	36	22	106
1542	29	38	40	21	128
1543	30	28	27	24	109
1544	27	29	51	24	131
1545	29	36	26	35	126
1546	21	33	26	16	96
1547	10	20	14	11	55
1548	19	11	19	14	63
1551	27	14	24	10	75
1552	11	11	11	10	43
1553	17	27	28	13	85
1555	16	19	24	23	82
1556	28	23	36	21	108
1557	25	29	29	36	119
1558	12	29	14	17	72
1559	24	24	36	23	107
1561	29	20	19	24	92
1565	23	26	29	16	94
1566	19	25	22	29	95
1568	20	29	30	19	98
1570	6	7	10	6	29
1571	17	26	9	26	78
1572	15	16	19	16	66
1575	26	23	34	22	105
1576	9	12	15	7	43
1577	14	19	25	9	67
1578	8	8	7	18	41
2001	21	28	24	14	87
2003	30	22	32	16	100
2004	27	18	20	10	75
2006	12	1	10	11	34
2007	16	16	16	6	54
2008	3	9	7	3	22
2013	22	27	43	21	113
2016	17	24	14	29	84
2020	20	20	23	24	87
2021	20	34	34	23	111
2024	32	21	29	14	96
2026	24	36	36	22	118
2028	26	11	33	6	76
2030	8	5	12	7	32
2031	11	23	21	10	65
2034	17	15	22	16	70
2038	12	16	15	10	53
2039	13	43	34	26	116
2048	20	31	35	14	100
2050	9	17	12	3	41
2051	6	9	17	8	40
2059	12	16	11	12	51
2061	23	8	19	3	53
2062	17	26	17	23	83
2064	11	11	26	7	55
2065	7	24	22	19	72
2066	6	9	11	8	34
2070	22	30	30	21	103
2083	28	27	35	27	117
2092	20	23	19	21	83
2094	32	32	51	8	123
2095	9	21	16	24	70
2099	48	26	50	21	145
2100	20	25	32	22	99
2101	44	25	60	13	142
2102	31	32	32	17	112
2103	14	20	17	20	71
2104	12	5	18	12	47
2109	19	39	39	25	122
2115	13	27	22	18	80
2116	8	15	10	3	36
2125	19	4	19	3	45
2130	10	12	10	10	42
2132	27	3	32	3	65
2133	17	31	20	28	96
2134	20	22	17	22	81
2137	11	23	28	9	71
2144	7	14	7	18	46
2146	11	27	29	22	89
2148	26	20	39	21	106
2149	5	10	11	8	34
2158	18	10	17	11	56
2159	35	14	43	12	104
2160	19	23	26	14	82
2161	15	9	15	8	47
2162	28	16	23	18	85
2163	12	6	10	6	34
2164	16	13	12	6	47
2165	18	17	17	4	56
2166	24	14	25	18	81
2167	18	18	21	16	73
2168	38	25	36	22	121
2169	10	16	12	8	46
2170	8	14	18	12	52
2171	6	14	13	13	46
2172	10	26	20	8	64
2174	9	7	2	2	20
2175	15	20	23	15	73
2176	7	20	8	16	51
2177	25	35	22	21	103
2178	34	15	26	21	96
2179	11	48	35	20	114
2183	16	31	21	20	88
2186	26	32	37	21	116
