"Subject"	"numTrials"	"numArtifact"	"numIncorrect"	"numRTaccept"	"numAccept"
"1018"	384	1	110	346	345
"1035"	384	0	101	312	314
"1037"	384	39	69	345	310
"1039"	384	0	129	337	338
"1043"	384	0	109	332	335
"1044"	384	0	115	279	286
"1048"	384	0	57	352	352
"1501"	384	1	87	314	313
"1502"	384	7	48	316	310
"1504"	384	0	109	348	354
"1505"	384	11	54	328	317
"1507"	384	0	120	334	342
"1509"	384	0	73	347	348
"1510"	384	2	110	336	335
"1511"	384	0	67	311	311
"1515"	384	0	96	354	358
"1516"	384	2	43	357	355
"1517"	384	0	33	345	350
"1518"	384	0	112	329	332
"1521"	384	0	62	345	345
"1522"	384	0	25	325	326
"1525"	384	0	83	293	302
"1526"	384	0	130	330	337
"1527"	384	0	72	352	352
"1529"	384	1	84	342	344
"1530"	384	0	133	319	324
"1532"	384	1	87	274	274
"1535"	384	7	131	344	337
"1536"	384	0	96	321	322
"1537"	384	0	83	341	343
"1538"	384	0	71	314	321
"1539"	384	0	81	302	312
"1540"	384	0	82	309	325
"1541"	384	0	99	347	357
"1542"	384	4	140	243	259
"1543"	384	0	115	351	353
"1544"	384	0	136	315	325
"1545"	384	6	128	313	321
"1546"	384	1	99	358	357
"1547"	384	0	57	339	340
"1548"	384	0	73	288	294
"1551"	384	0	84	346	347
"1552"	384	0	45	312	316
"1553"	384	0	97	315	321
"1555"	384	0	93	328	332
"1556"	384	3	107	262	289
"1557"	384	0	125	295	308
"1558"	384	0	78	362	364
"1559"	384	0	113	307	309
"1561"	384	0	97	293	302
"1565"	384	10	83	293	303
"1566"	384	0	121	267	280
"1568"	384	1	135	226	242
"1570"	384	0	30	346	346
"1571"	384	2	95	284	285
"1572"	384	2	77	287	288
"1575"	384	1	107	353	352
"1576"	384	13	54	309	297
"1577"	384	4	67	334	334
"1578"	384	2	41	327	327
"2001"	384	0	95	244	266
"2003"	384	0	103	312	316
"2004"	384	0	82	331	331
"2006"	384	2	59	188	190
"2007"	384	2	72	307	306
"2008"	384	1	27	294	293
"2013"	384	0	123	293	303
"2016"	384	2	95	298	299
"2020"	384	1	120	133	176
"2021"	384	1	147	277	281
"2024"	384	3	114	301	304
"2026"	384	0	119	332	340
"2028"	384	0	81	348	350
"2030"	384	2	31	340	338
"2031"	384	1	62	336	338
"2034"	384	1	73	288	295
"2038"	384	0	50	279	290
"2039"	384	1	132	338	338
"2048"	384	0	107	335	335
"2050"	384	0	49	291	295
"2051"	384	0	47	250	250
"2059"	384	0	52	360	360
"2061"	384	0	57	322	324
"2062"	384	3	95	327	326
"2064"	384	0	61	289	292
"2065"	384	1	81	300	304
"2066"	384	2	40	245	245
"2070"	384	23	123	362	339
"2083"	384	0	133	250	277
"2092"	384	0	89	318	320
"2094"	384	0	136	345	348
"2095"	384	9	84	341	333
"2099"	384	0	157	313	318
"2100"	384	2	105	344	343
"2101"	384	0	143	367	367
"2102"	384	1	133	327	329
"2103"	384	0	76	276	282
"2104"	384	1	53	316	317
"2109"	384	0	124	349	349
"2115"	384	0	83	330	334
"2116"	384	1	34	329	331
"2125"	384	1	53	334	334
"2130"	384	23	47	350	329
"2132"	384	0	70	336	338
"2133"	384	0	101	308	310
"2134"	384	6	89	348	342
"2137"	384	1	82	306	305
"2144"	384	0	49	341	341
"2146"	384	0	106	303	307
"2148"	384	2	108	322	332
"2149"	384	1	44	332	331
"2158"	384	4	73	270	270
"2159"	384	1	102	301	320
"2160"	384	0	105	310	311
"2161"	384	0	82	217	221
"2162"	384	10	95	312	303
"2163"	384	0	38	274	274
"2164"	384	0	49	308	310
"2165"	384	2	57	266	278
"2166"	384	19	114	284	268
"2167"	384	3	83	326	324
"2168"	384	0	130	338	341
"2169"	384	2	61	273	271
"2170"	384	0	63	270	275
"2171"	384	8	70	223	216
"2172"	384	1	64	299	298
"2174"	384	0	28	289	291
"2175"	384	0	71	302	315
"2176"	384	0	54	355	356
"2177"	384	0	106	297	307
"2178"	384	4	106	304	305
"2179"	384	0	125	316	317
"2183"	384	0	92	337	338
"2186"	384	4	135	309	311
