"Subject"	"Trial"	"Electrode"	"MeanAmp"	"Condition"	"Race"	"Fix"
1	2	"P8"	-0.847495081967213	"White_eyes"	"White"	"eyes"
1	2	"TP7"	5.19223934426229	"White_eyes"	"White"	"eyes"
1	2	"TP8"	0.726413114754098	"White_eyes"	"White"	"eyes"
1	2	"P7"	-0.244893442622951	"White_eyes"	"White"	"eyes"
1	3	"P8"	3.95953442622951	"Black_forehead"	"Black"	"forehead"
1	3	"TP7"	9.6690737704918	"Black_forehead"	"Black"	"forehead"
1	3	"TP8"	4.70245081967213	"Black_forehead"	"Black"	"forehead"
1	3	"P7"	5.37384590163934	"Black_forehead"	"Black"	"forehead"
1	4	"P8"	25.765837704918	"White_forehead"	"White"	"forehead"
1	4	"TP7"	8.07314918032787	"White_forehead"	"White"	"forehead"
1	4	"TP8"	18.8731245901639	"White_forehead"	"White"	"forehead"
1	4	"P7"	13.1773459016393	"White_forehead"	"White"	"forehead"
1	5	"P8"	-14.0303327868852	"Black_forehead"	"Black"	"forehead"
1	5	"TP7"	-10.2221295081967	"Black_forehead"	"Black"	"forehead"
1	5	"TP8"	-16.6856098360656	"Black_forehead"	"Black"	"forehead"
1	5	"P7"	-6.78815901639344	"Black_forehead"	"Black"	"forehead"
1	6	"P8"	12.9324475409836	"White_forehead"	"White"	"forehead"
1	6	"TP7"	-3.63759672131148	"White_forehead"	"White"	"forehead"
1	6	"TP8"	13.2406295081967	"White_forehead"	"White"	"forehead"
1	6	"P7"	-3.38994918032787	"White_forehead"	"White"	"forehead"
1	7	"P8"	7.59162131147541	"White_eyes"	"White"	"eyes"
1	7	"TP7"	2.40488360655738	"White_eyes"	"White"	"eyes"
1	7	"TP8"	0.828227868852459	"White_eyes"	"White"	"eyes"
1	7	"P7"	4.80701803278689	"White_eyes"	"White"	"eyes"
1	8	"P8"	6.84043442622951	"Black_forehead"	"Black"	"forehead"
1	8	"TP7"	-1.77201475409836	"Black_forehead"	"Black"	"forehead"
1	8	"TP8"	0.819968852459016	"Black_forehead"	"Black"	"forehead"
1	8	"P7"	2.1379737704918	"Black_forehead"	"Black"	"forehead"
1	9	"P8"	8.35655737704918	"Black_forehead"	"Black"	"forehead"
1	9	"TP7"	-8.41435245901639	"Black_forehead"	"Black"	"forehead"
1	9	"TP8"	1.83530491803279	"Black_forehead"	"Black"	"forehead"
1	9	"P7"	-4.18791147540984	"Black_forehead"	"Black"	"forehead"
1	10	"P8"	4.17140163934426	"Black_forehead"	"Black"	"forehead"
1	10	"TP7"	-4.09710983606557	"Black_forehead"	"Black"	"forehead"
1	10	"TP8"	3.0900262295082	"Black_forehead"	"Black"	"forehead"
1	10	"P7"	-3.73665081967213	"Black_forehead"	"Black"	"forehead"
1	11	"P8"	21.7787918032787	"White_eyes"	"White"	"eyes"
1	11	"TP7"	23.1545901639344	"White_eyes"	"White"	"eyes"
1	11	"TP8"	24.2194409836066	"White_eyes"	"White"	"eyes"
1	11	"P7"	20.0645508196721	"White_eyes"	"White"	"eyes"
1	12	"P8"	-7.16238032786885	"Black_eyes"	"Black"	"eyes"
1	12	"TP7"	7.36048524590164	"Black_eyes"	"Black"	"eyes"
1	12	"TP8"	-2.8038606557377	"Black_eyes"	"Black"	"eyes"
1	12	"P7"	2.10771967213115	"Black_eyes"	"Black"	"eyes"
1	13	"P8"	9.92220655737705	"White_eyes"	"White"	"eyes"
1	13	"TP7"	-3.42021147540984	"White_eyes"	"White"	"eyes"
1	13	"TP8"	6.55152295081967	"White_eyes"	"White"	"eyes"
1	13	"P7"	-8.29877540983606	"White_eyes"	"White"	"eyes"
1	15	"P8"	19.2335770491803	"Black_eyes"	"Black"	"eyes"
1	15	"TP7"	8.18871967213115	"Black_eyes"	"Black"	"eyes"
1	15	"TP8"	18.5346770491803	"Black_eyes"	"Black"	"eyes"
1	15	"P7"	6.98352131147541	"Black_eyes"	"Black"	"eyes"
1	16	"P8"	-6.10851967213115	"White_forehead"	"White"	"forehead"
1	16	"TP7"	-7.77597704918033	"White_forehead"	"White"	"forehead"
1	16	"TP8"	-12.6380295081967	"White_forehead"	"White"	"forehead"
1	16	"P7"	-2.33058852459016	"White_forehead"	"White"	"forehead"
1	17	"P8"	2.20125901639344	"Black_eyes"	"Black"	"eyes"
1	17	"TP7"	1.97838852459016	"Black_eyes"	"Black"	"eyes"
1	17	"TP8"	0.52555737704918	"Black_eyes"	"Black"	"eyes"
1	17	"P7"	5.19223606557377	"Black_eyes"	"Black"	"eyes"
1	18	"P8"	6.58179344262295	"Black_eyes"	"Black"	"eyes"
1	18	"TP7"	-7.28344426229508	"Black_eyes"	"Black"	"eyes"
1	18	"TP8"	0.0467786885245902	"Black_eyes"	"Black"	"eyes"
1	18	"P7"	0.387981967213115	"Black_eyes"	"Black"	"eyes"
1	19	"P8"	-0.806209836065574	"Black_eyes"	"Black"	"eyes"
1	19	"TP7"	8.09516557377049	"Black_eyes"	"Black"	"eyes"
1	19	"TP8"	3.50826885245902	"Black_eyes"	"Black"	"eyes"
1	19	"P7"	6.68084426229508	"Black_eyes"	"Black"	"eyes"
1	20	"P8"	8.63171639344262	"Black_eyes"	"Black"	"eyes"
1	20	"TP7"	2.63602295081967	"Black_eyes"	"Black"	"eyes"
1	20	"TP8"	3.4532393442623	"Black_eyes"	"Black"	"eyes"
1	20	"P7"	0.7897	"Black_eyes"	"Black"	"eyes"
1	21	"P8"	-14.6329295081967	"White_forehead"	"White"	"forehead"
1	21	"TP7"	-17.1066016393443	"White_forehead"	"White"	"forehead"
1	21	"TP8"	-18.1714672131148	"White_forehead"	"White"	"forehead"
1	21	"P7"	-20.1140819672131	"White_forehead"	"White"	"forehead"
1	23	"P8"	-14.4210590163934	"Black_eyes"	"Black"	"eyes"
1	23	"TP7"	1.38404590163934	"Black_eyes"	"Black"	"eyes"
1	23	"TP8"	-19.3023655737705	"Black_eyes"	"Black"	"eyes"
1	23	"P7"	2.20127213114754	"Black_eyes"	"Black"	"eyes"
1	25	"P8"	8.37582459016393	"Black_forehead"	"Black"	"forehead"
1	25	"TP7"	0.53105737704918	"Black_forehead"	"Black"	"forehead"
1	25	"TP8"	-0.715416393442623	"Black_forehead"	"Black"	"forehead"
1	25	"P7"	5.64075081967213	"Black_forehead"	"Black"	"forehead"
1	26	"P8"	12.9379491803279	"White_forehead"	"White"	"forehead"
1	26	"TP7"	1.29324262295082	"White_forehead"	"White"	"forehead"
1	26	"TP8"	16.1408081967213	"White_forehead"	"White"	"forehead"
1	26	"P7"	-3.75867049180328	"White_forehead"	"White"	"forehead"
1	27	"P8"	-5.26377868852459	"Black_forehead"	"Black"	"forehead"
1	27	"TP7"	-6.57353606557377	"Black_forehead"	"Black"	"forehead"
1	27	"TP8"	-4.09710327868852	"Black_forehead"	"Black"	"forehead"
1	27	"P7"	-8.27126229508197	"Black_forehead"	"Black"	"forehead"
1	29	"P8"	3.21935245901639	"White_forehead"	"White"	"forehead"
1	29	"TP7"	16.9552721311475	"White_forehead"	"White"	"forehead"
